Step,Error-min-30,Error-min-0,Clean
30,2.663187742,0.048583753,0.562828064
60,3.862148285,0.136331379,1.443280935
90,0.719280422,0.44433853,0.355368555
120,3.995759249,0.003821602,2.747597933
150,0.533329904,0.029502314,0.845570624
180,0.441816717,0.007673807,0.411208987
210,0.516149998,0.023423161,0.857917547
240,3.10560298,0.043114126,2.426901102
270,0.266933799,0.008814909,0.563529372
300,1.868531346,0.0004939,1.749743342
330,0.250806868,0.002190419,0.535417318
360,0.649186432,0.03812087,0.594211817
390,0.307393998,0.00052231,0.372117072
420,0.25549981,9.63323E-05,0.507034481
450,1.037477612,0.004440393,2.771721363
480,2.1567204,0.004428277,1.715311289
510,0.0904366,0.014343102,0.355698556
540,0.828339934,0.000589555,3.121353626
570,0.70721215,0.203343511,1.199394464
600,0.524087667,0.006990511,0.599033237
630,0.195167467,0.008523611,0.501040757
660,0.829652846,0.000987739,1.211059213
690,0.443495721,0.066818729,1.573387265
720,0.530679822,0.000305145,0.623686194
750,0.14779675,0.004088932,0.670777619
780,0.207676366,0.083280988,1.255529523
810,1.607254744,0.02301638,1.856918335
840,0.193808079,0.010058717,0.617827475
870,0.204852283,0.027008561,0.425644368
900,0.33910808,0.000761957,0.477593035
930,1.420630336,0.00227729,0.839158118
960,0.09403,0.000907589,0.711606026
990,0.249378741,0.000603099,0.40143615
1020,0.029892553,0.00123868,0.493457645
1050,1.930384636,0.001356798,0.873282313
1080,0.544209242,0.005439638,0.46138975
